Section,Item,Details,AWS Service,Monthly Cost (USD),Notes
,,,,, 
TECHNOLOGY STACK,,,,, 
Backend,Runtime,Node.js 20 + TypeScript,,, 
Backend,Framework,Express.js,,, 
Backend,ORM,Prisma ORM,,, 
Backend,Database,PostgreSQL,,, 
Backend,Auth,JWT (jsonwebtoken) + bcryptjs,,, 
Backend,Validation,Zod,,, 
Backend,File Upload,Multer + AWS S3,,, 
Backend,Security,Helmet + CORS + Rate Limiting,,, 
Backend,Queue,Bull (Redis-based job queue),,, 
,,,,, 
Web App (PWA),Framework,React 18 + TypeScript,,, 
Web App (PWA),Build Tool,Vite 5,,, 
Web App (PWA),Routing,React Router v6,,, 
Web App (PWA),State,Zustand,,, 
Web App (PWA),HTTP,Axios,,, 
Web App (PWA),Charts,Recharts,,, 
Web App (PWA),PWA,vite-plugin-pwa,,, 
Web App (PWA),Notifications,React Hot Toast,,, 
,,,,, 
Admin Panel,Framework,React 18 + TypeScript,,, 
Admin Panel,Build Tool,Vite 5,,, 
Admin Panel,Routing,React Router v6,,, 
Admin Panel,HTTP,Axios,,, 
,,,,, 
Mobile App,Framework,React Native 0.76 + Expo SDK 52,,, 
Mobile App,Navigation,React Navigation v6 (Drawer),,, 
Mobile App,State,Zustand,,, 
Mobile App,Storage,Expo SecureStore,,, 
Mobile App,Animations,React Native Reanimated,,, 
Mobile App,Build,EAS Build (Expo Application Services),,, 
,,,,, 
Database,Engine,PostgreSQL 15+,,, 
Database,ORM,Prisma with migrations,,, 
,,,,, 
========================================,,,,, 
AWS DEPLOYMENT - COST OPTIMIZED,,,,, 
========================================,,,,, 
,,,,, 
OPTION A: MINIMAL (Startup - 1-50 users),,,,, 
,,,,, 
Compute,Backend API,Single EC2 t3.micro (1 vCPU 1GB RAM),Amazon EC2 t3.micro,$8.50,Free tier eligible first 12 months
Compute,Web + Admin,Static hosting on S3 + CloudFront,S3 + CloudFront,$1.00,Minimal traffic
Database,PostgreSQL,RDS db.t3.micro (1 vCPU 1GB 20GB),Amazon RDS PostgreSQL,$15.00,Free tier eligible first 12 months
Storage,File Uploads,S3 Standard (5GB),Amazon S3,$0.12,Invoices/photos
DNS,Domain,Route 53 hosted zone,Amazon Route 53,$0.50,Per hosted zone
SSL,HTTPS,ACM Certificate (free),AWS Certificate Manager,$0.00,Free with CloudFront/ALB
,,,,, 
,OPTION A TOTAL,,,$25.12,With free tier: ~$0-5/month first year
,,,,, 
========================================,,,,, 
OPTION B: PRODUCTION (50-500 users),,,,, 
,,,,, 
Compute,Backend API,EC2 t3.small (2 vCPU 2GB RAM),Amazon EC2 t3.small,$17.00, 
Compute,Web App,S3 + CloudFront CDN,S3 + CloudFront,$3.00,Global CDN distribution
Compute,Admin Panel,S3 + CloudFront CDN,S3 + CloudFront,$1.00,Low traffic
Database,PostgreSQL,RDS db.t3.small (2 vCPU 2GB 50GB),Amazon RDS PostgreSQL,$28.00,Multi-AZ optional (+$28)
Cache,Redis,ElastiCache t3.micro (for Bull queue),Amazon ElastiCache,$13.00,Optional - can skip if no queues needed
Storage,File Uploads,S3 Standard (50GB),Amazon S3,$1.15, 
DNS,Domain,Route 53,Amazon Route 53,$0.50, 
SSL,HTTPS,ACM Certificate,AWS Certificate Manager,$0.00, 
Monitoring,Logs,CloudWatch basic,Amazon CloudWatch,$5.00, 
Backup,DB Backup,RDS automated backups (7 days),Amazon RDS,$0.00,Included with RDS
,,,,, 
,OPTION B TOTAL,,,$68.65, 
,,,,, 
========================================,,,,, 
OPTION C: SCALE (500+ users / Multi-tenant SaaS),,,,, 
,,,,, 
Compute,Backend API,ECS Fargate (2 tasks x 0.5vCPU 1GB),Amazon ECS Fargate,$36.00,Auto-scaling
Compute,Load Balancer,Application Load Balancer,Amazon ALB,$18.00,Distributes traffic
Compute,Web App,S3 + CloudFront CDN,S3 + CloudFront,$5.00, 
Compute,Admin Panel,S3 + CloudFront CDN,S3 + CloudFront,$2.00, 
Database,PostgreSQL,RDS db.t3.medium (2 vCPU 4GB 100GB),Amazon RDS PostgreSQL,$65.00,Multi-AZ recommended
Cache,Redis,ElastiCache t3.small,Amazon ElastiCache,$25.00,Session + Bull queue
Storage,File Uploads,S3 Standard (200GB),Amazon S3,$4.60, 
DNS,Domain,Route 53,Amazon Route 53,$0.50, 
SSL,HTTPS,ACM Certificate,AWS Certificate Manager,$0.00, 
Monitoring,Full,CloudWatch + X-Ray,Amazon CloudWatch,$15.00, 
CI/CD,Pipeline,CodePipeline + CodeBuild,AWS CodePipeline,$10.00, 
Notifications,Push,SNS for mobile push,Amazon SNS,$1.00, 
Email,Transactional,SES for OTP/notifications,Amazon SES,$1.00, 
,,,,, 
,OPTION C TOTAL,,,$183.10, 
,,,,, 
========================================,,,,, 
DEPLOYMENT STEPS,,,,, 
========================================,,,,, 
,,,,, 
STEP,Action,Command / Details,Service,Time,Prerequisites
,,,,, 
1,Create AWS Account,Sign up at aws.amazon.com,AWS Console,5 min,Credit card
2,Install AWS CLI,"Download from aws.amazon.com/cli, run: aws configure",Local Machine,5 min,Access Key ID + Secret
3,Create VPC,Use default VPC or create custom with public/private subnets,VPC,10 min, 
,,,,, 
--- DATABASE SETUP ---,,,,, 
4,Create RDS Instance,"AWS Console > RDS > Create Database > PostgreSQL 15, db.t3.micro, 20GB",Amazon RDS,10 min,VPC + Security Group
5,Configure Security Group,Allow inbound port 5432 from EC2 security group only,Security Groups,5 min, 
6,Note Connection String,postgresql://postgres:<password>@<rds-endpoint>:5432/brickpro,RDS,1 min, 
,,,,, 
--- BACKEND DEPLOYMENT ---,,,,, 
7,Create EC2 Instance,"Amazon Linux 2023, t3.micro, key pair, security group (ports 22 80 443)",Amazon EC2,5 min,Key pair (.pem file)
8,SSH into EC2,ssh -i key.pem ec2-user@<public-ip>,Terminal,1 min, 
9,Install Node.js,curl -fsSL https://rpm.nodesource.com/setup_20.x | sudo bash - && sudo yum install -y nodejs,EC2,3 min, 
10,Install PM2,sudo npm install -g pm2,EC2,1 min,Process manager
11,Clone Repository,git clone <your-repo-url> && cd BrickPro/backend,EC2,2 min,Git installed
12,Install Dependencies,npm install,EC2,2 min, 
13,Setup .env,"Create .env with DATABASE_URL, JWT_SECRET, PORT=4000",EC2,2 min,RDS endpoint from step 6
14,Run Prisma Migrations,npx prisma migrate deploy,EC2,1 min,DB must be accessible
15,Build Backend,npm run build,EC2,1 min, 
16,Start with PM2,pm2 start dist/index.js --name brickpro-api,EC2,1 min, 
17,PM2 Startup,pm2 startup && pm2 save,EC2,1 min,Auto-restart on reboot
,,,,, 
--- FRONTEND DEPLOYMENT (Web + Admin) ---,,,,, 
18,Create S3 Bucket (web),aws s3 mb s3://brickpro-web --region ap-south-1,S3,1 min, 
19,Enable Static Hosting,AWS Console > S3 > Properties > Static website hosting > Enable,S3,2 min, 
20,Build Web App,cd apps/web && npm run build,Local,1 min, 
21,Upload to S3,aws s3 sync dist/ s3://brickpro-web --delete,S3,1 min, 
22,Create CloudFront Distribution,Origin: S3 bucket. Default root: index.html. Error page: index.html (for SPA),CloudFront,5 min, 
23,Repeat for Admin,Same steps 18-22 for apps/admin with s3://brickpro-admin,S3 + CloudFront,5 min, 
,,,,, 
--- DOMAIN & SSL ---,,,,, 
24,Register/Transfer Domain,Route 53 > Registered domains (or use existing),Route 53,5 min, 
25,Create Hosted Zone,Route 53 > Create hosted zone for your domain,Route 53,2 min, 
26,Request SSL Certificate,"ACM > Request certificate > *.brickpro.in, brickpro.in",ACM,5 min,DNS validation
27,Add DNS Records,"A record: api.brickpro.in → EC2 IP, app.brickpro.in → CloudFront, admin.brickpro.in → CloudFront",Route 53,5 min, 
,,,,, 
--- NGINX REVERSE PROXY ---,,,,, 
28,Install Nginx,sudo yum install -y nginx,EC2,1 min, 
29,Configure Nginx,proxy_pass http://localhost:4000 for api subdomain,EC2,5 min, 
30,Install Certbot,sudo yum install -y certbot python3-certbot-nginx,EC2,2 min, 
31,Get SSL Certificate,sudo certbot --nginx -d api.brickpro.in,EC2,2 min,Domain must point to EC2
32,Auto-renew SSL,sudo certbot renew --dry-run,EC2,1 min, 
,,,,, 
--- MOBILE APP ---,,,,, 
33,Update API URL,Change api.ts baseURL to https://api.brickpro.in/api,Local,1 min, 
34,Build Android APK,eas build --platform android --profile production,EAS Build,15 min,Expo account
35,Build iOS IPA,eas build --platform ios --profile production,EAS Build,20 min,Apple Developer account ($99/yr)
36,Submit to Play Store,eas submit --platform android,Google Play,1 day,Google Play Console ($25 one-time)
37,Submit to App Store,eas submit --platform ios,App Store,2-5 days,Apple Developer account
,,,,, 
--- MONITORING & MAINTENANCE ---,,,,, 
38,Setup CloudWatch Alarms,"CPU > 80%, Memory > 80%, RDS connections > 50",CloudWatch,10 min, 
39,Enable RDS Backups,Automated backups enabled (7 day retention),RDS,2 min, 
40,Setup CI/CD (Optional),GitHub Actions: on push to main → build → deploy to S3/EC2,GitHub Actions,30 min,Free for public repos
,,,,, 
========================================,,,,, 
ENVIRONMENT VARIABLES (.env on EC2),,,,, 
========================================,,,,, 
,,,,, 
Variable,Value,Description,,, 
DATABASE_URL,postgresql://postgres:<pw>@<rds-endpoint>:5432/brickpro,RDS connection string,,, 
JWT_SECRET,<random-64-char-string>,Token signing secret,,, 
PORT,4000,Backend port,,, 
NODE_ENV,production,Environment,,, 
AWS_REGION,ap-south-1,Mumbai region (closest to India),,, 
AWS_ACCESS_KEY_ID,<key>,For S3 uploads,,, 
AWS_SECRET_ACCESS_KEY,<secret>,For S3 uploads,,, 
S3_BUCKET,brickpro-uploads,File upload bucket,,, 
,,,,, 
========================================,,,,, 
RECOMMENDED ARCHITECTURE (India-focused),,,,, 
========================================,,,,, 
,,,,, 
Component,Service,Region,Why,,
Backend API,EC2 t3.small,ap-south-1 (Mumbai),Low latency for Indian users,, 
Database,RDS PostgreSQL,ap-south-1 (Mumbai),Same region as backend,, 
Web/Admin CDN,CloudFront,Global (Edge),Fast loading worldwide,, 
File Storage,S3,ap-south-1 (Mumbai),Compliance + speed,, 
DNS,Route 53,Global,Reliable DNS,, 
Mobile Push,SNS,ap-south-1,Push notifications,, 
Email/OTP,SES,ap-south-1,Transactional emails,, 
,,,,, 
========================================,,,,, 
COST SAVING TIPS,,,,, 
========================================,,,,, 
,,,,, 
Tip,Savings,Details,,, 
Use Free Tier,~$25/month first year,"EC2 t3.micro, RDS t3.micro, S3 5GB all free for 12 months",,, 
Reserved Instances,30-40%,Commit to 1-year for EC2 + RDS,,, 
Use Spot Instances,60-70%,For non-critical background jobs,,, 
S3 Intelligent Tiering,20-30%,Auto-moves infrequent files to cheaper storage,,, 
CloudFront Caching,50%+ bandwidth,Cache static assets at edge,,, 
Right-size instances,Variable,Start small and scale up only when needed,,, 
Use ap-south-1 (Mumbai),10-15%,Cheaper than US/EU regions for Indian traffic,,, 
Graviton (ARM) instances,20%,t4g instances are cheaper than t3,,, 
